group,blocks,tokens,types,ttr_full,mtld_full,ttr_std,ttr_std_lo,ttr_std_hi,mtld_std,mtld_std_lo,mtld_std_hi
Kain / dialogue,402,5624,1301,0.23133001422475108,93.56371864920885,0.2547128787878788,0.2466875,0.2611363636363636,94.66099229307719,89.67164057053292,99.63044464635354
Kain / narration,153,5322,1608,0.30214205186020293,97.86081739430111,0.3220363636363636,0.3153352272727273,0.3278465909090909,97.23689538237963,90.14117650301844,103.87036719080189
Raziel / dialogue,260,4410,1171,0.2655328798185941,88.26037610195229,0.26591515151515155,0.2656818181818182,0.2661363636363636,88.24544592697323,87.2521929337795,90.02146598196292
Raziel / narration,120,6202,1660,0.2676555949693647,100.31144971467134,0.301825,0.29318181818181815,0.3094488636363636,98.40883414988588,92.8510966548337,104.00316062497538
Supporting / dialogue,563,13730,2352,0.17130371449380918,86.92370456987146,0.2687318181818182,0.2579431818181818,0.28011931818181823,91.87264640159256,83.66704098160747,100.05739595048503
