block_id,game,speaker_canon,register,register_source,p_narration,n_words,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Soul Reaver 2|351,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,0,1,0,0,1,0,0
Soul Reaver 2|353,Soul Reaver 2,Raziel,dialogue,none,NA,24,1,0,1,1,0,1,1,0
Soul Reaver 2|355,Soul Reaver 2,Raziel,dialogue,none,NA,8,0,0,0,0,0,0,0,1
Soul Reaver 2|357,Soul Reaver 2,Raziel,dialogue,none,NA,58,2,1,1,1,0,1,0,0
Soul Reaver 2|359,Soul Reaver 2,Raziel,dialogue,none,NA,94,0,2,1,2,1,1,1,1
Soul Reaver 2|363,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,1,0,1,0,0,0,0
Soul Reaver 2|365,Soul Reaver 2,Raziel,dialogue,none,NA,8,1,0,1,1,0,1,1,0
Soul Reaver 2|368,Soul Reaver 2,Raziel,narration,explicit_vo,NA,62,3,2,2,2,1,3,2,2
Soul Reaver 2|373,Soul Reaver 2,Raziel,dialogue,none,NA,62,3,0,2,3,0,3,0,1
Soul Reaver 2|377,Soul Reaver 2,Raziel,dialogue,none,NA,48,2,0,0,2,0,1,1,1
Soul Reaver 2|379,Soul Reaver 2,Raziel,dialogue,none,NA,39,1,3,1,2,0,2,1,0
Soul Reaver 2|382,Soul Reaver 2,Raziel,dialogue,none,NA,55,1,0,1,2,0,2,0,1
Soul Reaver 2|385,Soul Reaver 2,Raziel,dialogue,none,NA,33,0,3,1,2,1,1,1,1
Soul Reaver 2|389,Soul Reaver 2,Raziel,dialogue,none,NA,62,6,1,3,4,0,4,0,0
Soul Reaver 2|390,Soul Reaver 2,Raziel,dialogue,none,NA,34,1,1,1,1,0,0,0,0
Soul Reaver 2|394,Soul Reaver 2,Raziel,dialogue,none,NA,23,1,0,2,2,0,1,0,0
Soul Reaver 2|396,Soul Reaver 2,Raziel,narration,explicit_vo,NA,46,1,2,1,1,1,1,1,2
Soul Reaver 2|398,Soul Reaver 2,Raziel,dialogue,none,NA,34,0,3,0,1,0,0,0,0
Soul Reaver 2|401,Soul Reaver 2,Raziel,dialogue,none,NA,53,4,1,2,5,1,3,0,2
Soul Reaver 2|405,Soul Reaver 2,Raziel,narration,explicit_vo,NA,20,0,1,0,0,0,0,0,0
Soul Reaver 2|407,Soul Reaver 2,Raziel,dialogue,none,NA,21,1,1,2,1,0,1,0,0
Soul Reaver 2|408,Soul Reaver 2,Raziel,dialogue,none,NA,22,0,1,0,0,0,0,0,0
Soul Reaver 2|410,Soul Reaver 2,Kain,dialogue,model,0.0701,4,0,1,0,0,0,0,0,0
Soul Reaver 2|412,Soul Reaver 2,Kain,dialogue,model,0.0141,11,0,0,0,0,0,0,1,0
Soul Reaver 2|413,Soul Reaver 2,Raziel,dialogue,none,NA,12,0,0,0,0,0,0,0,0
Soul Reaver 2|415,Soul Reaver 2,Kain,dialogue,model,0.0654,22,0,0,0,0,0,0,0,0
Soul Reaver 2|416,Soul Reaver 2,Raziel,dialogue,none,NA,23,1,0,0,1,0,1,0,0
Soul Reaver 2|417,Soul Reaver 2,Raziel,dialogue,none,NA,6,0,0,0,0,0,0,0,0
Soul Reaver 2|418,Soul Reaver 2,Kain,dialogue,model,0.0111,11,0,0,0,0,0,0,0,0
Soul Reaver 2|419,Soul Reaver 2,Raziel,dialogue,none,NA,49,0,0,0,4,0,4,1,1
Soul Reaver 2|420,Soul Reaver 2,Kain,dialogue,model,0.0033,5,0,0,0,0,0,0,1,0
Soul Reaver 2|421,Soul Reaver 2,Raziel,dialogue,none,NA,41,1,0,1,2,0,0,0,0
Soul Reaver 2|422,Soul Reaver 2,Kain,dialogue,model,0.1371,37,0,0,0,0,0,0,0,0
Soul Reaver 2|423,Soul Reaver 2,Raziel,dialogue,none,NA,12,0,0,0,0,0,0,0,0
Soul Reaver 2|425,Soul Reaver 2,Kain,dialogue,model,0.3282,65,1,0,0,1,0,2,0,0
Soul Reaver 2|426,Soul Reaver 2,Raziel,dialogue,none,NA,10,0,0,0,1,0,0,0,0
Soul Reaver 2|427,Soul Reaver 2,Kain,dialogue,constraint,0.7844,27,1,0,0,1,0,0,0,0
Soul Reaver 2|430,Soul Reaver 2,Raziel,narration,explicit_vo,NA,122,3,3,2,3,0,4,1,3
Soul Reaver 2|432,Soul Reaver 2,Raziel,narration,explicit_vo,NA,46,4,2,2,4,0,1,1,1
Soul Reaver 2|434,Soul Reaver 2,Raziel,narration,explicit_vo,NA,54,3,2,2,4,0,3,1,0
Soul Reaver 2|436,Soul Reaver 2,Raziel,narration,explicit_vo,NA,60,1,2,0,1,1,0,0,3
Soul Reaver 2|439,Soul Reaver 2,Raziel,narration,explicit_vo,NA,82,1,4,0,2,2,0,2,1
Soul Reaver 2|441,Soul Reaver 2,Raziel,dialogue,none,NA,32,3,0,1,3,1,2,0,2
Soul Reaver 2|443,Soul Reaver 2,Raziel,dialogue,none,NA,82,3,1,3,4,1,5,1,4
Soul Reaver 2|445,Soul Reaver 2,Raziel,dialogue,none,NA,115,2,4,2,5,3,4,2,4
Soul Reaver 2|447,Soul Reaver 2,Raziel,dialogue,none,NA,119,3,4,4,5,1,3,2,4
Soul Reaver 2|450,Soul Reaver 2,Raziel,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Soul Reaver 2|455,Soul Reaver 2,Raziel,dialogue,none,NA,22,1,0,1,1,0,1,0,0
Soul Reaver 2|459,Soul Reaver 2,Raziel,dialogue,none,NA,11,0,0,0,0,0,0,0,1
Soul Reaver 2|465,Soul Reaver 2,Raziel,dialogue,none,NA,17,0,0,0,0,0,0,0,0
Soul Reaver 2|472,Soul Reaver 2,Raziel,dialogue,none,NA,11,0,0,0,0,0,0,0,0
Soul Reaver 2|474,Soul Reaver 2,Raziel,dialogue,none,NA,14,2,0,1,2,0,3,0,0
Soul Reaver 2|477,Soul Reaver 2,Raziel,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Soul Reaver 2|479,Soul Reaver 2,Raziel,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Soul Reaver 2|482,Soul Reaver 2,Raziel,dialogue,none,NA,23,1,0,1,2,1,0,0,1
Soul Reaver 2|485,Soul Reaver 2,Raziel,dialogue,none,NA,10,0,0,0,1,0,1,0,1
Soul Reaver 2|492,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Soul Reaver 2|495,Soul Reaver 2,Raziel,dialogue,none,NA,9,0,0,0,0,0,0,0,0
Soul Reaver 2|498,Soul Reaver 2,Raziel,narration,explicit_vo,NA,40,0,1,0,1,0,0,2,0
Soul Reaver 2|500,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Soul Reaver 2|506,Soul Reaver 2,Raziel,dialogue,none,NA,3,0,0,0,0,0,0,0,0
Soul Reaver 2|508,Soul Reaver 2,Raziel,narration,explicit_vo,NA,180,4,5,2,5,3,1,3,4
Soul Reaver 2|510,Soul Reaver 2,Raziel,narration,explicit_vo,NA,34,3,1,0,2,1,0,1,1
Soul Reaver 2|523,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Soul Reaver 2|525,Soul Reaver 2,Raziel,narration,explicit_vo,NA,63,0,1,1,0,0,1,0,1
Soul Reaver 2|527,Soul Reaver 2,Raziel,narration,explicit_vo,NA,102,5,3,6,6,3,4,4,4
Soul Reaver 2|531,Soul Reaver 2,Raziel,narration,explicit_vo,NA,59,3,0,3,2,0,2,0,0
Soul Reaver 2|542,Soul Reaver 2,Raziel,dialogue,none,NA,129,3,1,2,5,2,5,0,6
Soul Reaver 2|547,Soul Reaver 2,Raziel,narration,explicit_vo,NA,74,0,1,1,2,0,0,1,1
Soul Reaver 2|551,Soul Reaver 2,Raziel,dialogue,none,NA,7,0,0,0,0,1,0,0,0
Soul Reaver 2|561,Soul Reaver 2,Raziel,dialogue,none,NA,8,0,0,0,0,0,0,0,0
Soul Reaver 2|566,Soul Reaver 2,Raziel,narration,explicit_vo,NA,93,2,2,1,3,1,5,2,3
Soul Reaver 2|568,Soul Reaver 2,Raziel,narration,explicit_vo,NA,60,0,1,1,3,0,1,1,1
Soul Reaver 2|570,Soul Reaver 2,Raziel,narration,explicit_vo,NA,37,1,0,1,1,0,0,0,0
Soul Reaver 2|575,Soul Reaver 2,Raziel,narration,explicit_vo,NA,87,1,3,1,1,1,0,1,1
Soul Reaver 2|577,Soul Reaver 2,Raziel,narration,explicit_vo,NA,81,2,2,3,1,0,3,1,0
Soul Reaver 2|582,Soul Reaver 2,Raziel,narration,explicit_vo,NA,76,2,2,3,1,3,1,1,2
Soul Reaver 2|586,Soul Reaver 2,Raziel,narration,explicit_vo,NA,48,3,1,1,4,0,2,1,2
Soul Reaver 2|588,Soul Reaver 2,Raziel,dialogue,none,NA,23,0,0,0,1,0,1,0,0
Soul Reaver 2|589,Soul Reaver 2,Raziel,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Soul Reaver 2|597,Soul Reaver 2,Raziel,narration,explicit_vo,NA,63,4,1,1,5,0,5,0,0
Soul Reaver 2|600,Soul Reaver 2,Raziel,narration,explicit_vo,NA,71,6,0,2,5,0,6,0,0
Soul Reaver 2|602,Soul Reaver 2,Raziel,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Soul Reaver 2|604,Soul Reaver 2,Raziel,dialogue,none,NA,5,0,1,0,0,1,0,0,1
Soul Reaver 2|606,Soul Reaver 2,Kain,dialogue,model,0.025,2,0,0,0,0,0,0,0,1
Soul Reaver 2|608,Soul Reaver 2,Raziel,narration,explicit_vo,NA,23,1,0,0,0,0,1,0,0
Soul Reaver 2|610,Soul Reaver 2,Raziel,narration,explicit_vo,NA,63,0,2,0,1,1,0,1,1
Soul Reaver 2|614,Soul Reaver 2,Kain,dialogue,model,0.0096,10,0,0,0,0,0,0,0,0
Soul Reaver 2|616,Soul Reaver 2,Raziel,narration,explicit_vo,NA,56,4,2,2,3,0,4,1,0
Soul Reaver 2|619,Soul Reaver 2,Kain,dialogue,model,0.0786,5,0,0,0,0,0,0,0,0
Blood Omen 2|3,Blood Omen 2,Kain,narration,explicit_paren,NA,37,0,2,0,1,1,1,0,1
Blood Omen 2|6,Blood Omen 2,Kain,narration,explicit_paren,NA,8,0,0,0,0,0,1,0,0
Blood Omen 2|7,Blood Omen 2,Kain,dialogue,explicit_paren,NA,7,0,0,0,0,0,0,0,0
Blood Omen 2|10,Blood Omen 2,Kain,dialogue,none,NA,11,0,0,0,0,0,0,0,0
Blood Omen 2|12,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|15,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|20,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,1,0,0
Blood Omen 2|22,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|26,Blood Omen 2,Kain,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Blood Omen 2|28,Blood Omen 2,Kain,dialogue,none,NA,7,0,1,0,0,1,0,1,1
Blood Omen 2|30,Blood Omen 2,Kain,dialogue,none,NA,17,0,0,0,0,0,0,0,0
Blood Omen 2|32,Blood Omen 2,Kain,dialogue,none,NA,22,0,1,0,0,3,0,2,1
Blood Omen 2|34,Blood Omen 2,Kain,dialogue,none,NA,14,0,0,0,0,0,1,0,1
Blood Omen 2|36,Blood Omen 2,Kain,dialogue,none,NA,7,0,0,0,0,0,0,0,1
Blood Omen 2|40,Blood Omen 2,Kain,dialogue,none,NA,28,1,0,1,2,0,1,0,1
Blood Omen 2|43,Blood Omen 2,Kain,dialogue,none,NA,9,1,0,1,1,0,1,0,0
Blood Omen 2|45,Blood Omen 2,Kain,dialogue,none,NA,5,1,1,0,1,1,1,0,1
Blood Omen 2|47,Blood Omen 2,Kain,dialogue,none,NA,10,0,0,0,0,1,0,0,1
Blood Omen 2|49,Blood Omen 2,Kain,dialogue,explicit_paren,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|50,Blood Omen 2,Kain,narration,explicit_paren,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|52,Blood Omen 2,Kain,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|56,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|58,Blood Omen 2,Kain,dialogue,explicit_paren,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|59,Blood Omen 2,Kain,narration,explicit_paren,NA,14,0,0,0,0,0,0,0,1
Blood Omen 2|63,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|65,Blood Omen 2,Kain,dialogue,none,NA,8,0,1,0,0,0,0,0,0
Blood Omen 2|70,Blood Omen 2,Kain,narration,explicit_paren,NA,11,0,0,0,1,0,1,0,0
Blood Omen 2|72,Blood Omen 2,Kain,dialogue,none,NA,5,0,1,0,0,0,0,0,0
Blood Omen 2|74,Blood Omen 2,Kain,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|76,Blood Omen 2,Kain,dialogue,none,NA,11,1,0,0,0,0,0,0,1
Blood Omen 2|81,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|88,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|104,Blood Omen 2,Kain,dialogue,none,NA,6,0,1,0,1,0,0,1,0
Blood Omen 2|109,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|111,Blood Omen 2,Kain,dialogue,none,NA,11,0,0,0,0,0,1,1,0
Blood Omen 2|115,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|117,Blood Omen 2,Kain,narration,explicit_paren,NA,20,0,1,0,0,0,0,0,0
Blood Omen 2|133,Blood Omen 2,Kain,narration,explicit_paren,NA,52,1,1,1,1,1,1,0,1
Blood Omen 2|135,Blood Omen 2,Kain,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Blood Omen 2|137,Blood Omen 2,Kain,dialogue,none,NA,13,0,0,0,0,0,0,0,0
Blood Omen 2|140,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,0,0,0,0,0
Blood Omen 2|142,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,1,0,1,0,0
Blood Omen 2|145,Blood Omen 2,Kain,dialogue,none,NA,10,1,1,0,0,0,0,0,1
Blood Omen 2|149,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|151,Blood Omen 2,Kain,dialogue,none,NA,15,0,0,0,0,0,0,0,0
Blood Omen 2|153,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,0,0,0,0,0,0
Blood Omen 2|157,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,0,0,0
Blood Omen 2|159,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,0,0,0,0,0,0
Blood Omen 2|161,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|163,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|168,Blood Omen 2,Kain,narration,explicit_paren,NA,22,2,0,1,1,0,2,0,0
Blood Omen 2|169,Blood Omen 2,Kain,dialogue,explicit_paren,NA,15,0,0,0,0,1,0,0,2
Blood Omen 2|171,Blood Omen 2,Kain,dialogue,none,NA,21,1,0,0,1,0,1,0,0
Blood Omen 2|173,Blood Omen 2,Kain,dialogue,none,NA,11,0,1,0,0,1,0,0,2
Blood Omen 2|175,Blood Omen 2,Kain,dialogue,none,NA,17,0,0,0,0,0,1,0,0
Blood Omen 2|181,Blood Omen 2,Kain,dialogue,none,NA,14,0,1,0,1,0,0,1,1
Blood Omen 2|184,Blood Omen 2,Kain,dialogue,none,NA,13,0,1,1,0,0,0,0,1
Blood Omen 2|187,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,1,0,0,0,0,1
Blood Omen 2|189,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,0,0,1,0,0
Blood Omen 2|191,Blood Omen 2,Kain,dialogue,none,NA,5,0,1,0,0,1,0,0,1
Blood Omen 2|194,Blood Omen 2,Kain,narration,explicit_paren,NA,23,0,1,0,1,0,0,0,2
Blood Omen 2|198,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|200,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|202,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|205,Blood Omen 2,Kain,dialogue,none,NA,13,0,0,0,0,0,0,0,0
Blood Omen 2|207,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|209,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|213,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|215,Blood Omen 2,Kain,dialogue,none,NA,4,0,1,0,0,2,0,1,2
Blood Omen 2|217,Blood Omen 2,Kain,dialogue,none,NA,11,1,0,0,0,0,0,0,0
Blood Omen 2|219,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|221,Blood Omen 2,Kain,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|223,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|226,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|232,Blood Omen 2,Kain,dialogue,none,NA,8,1,1,1,1,0,2,1,0
Blood Omen 2|234,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,1,1,0,0,0,0
Blood Omen 2|236,Blood Omen 2,Kain,dialogue,none,NA,1,0,1,0,0,0,0,0,0
Blood Omen 2|239,Blood Omen 2,Kain,dialogue,none,NA,13,3,0,3,3,0,0,0,0
Blood Omen 2|241,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,1
Blood Omen 2|244,Blood Omen 2,Kain,narration,explicit_paren,NA,26,0,0,0,0,0,0,0,1
Blood Omen 2|245,Blood Omen 2,Kain,dialogue,explicit_paren,NA,16,1,0,0,0,0,0,0,1
Blood Omen 2|248,Blood Omen 2,Kain,dialogue,none,NA,17,0,1,0,0,1,0,1,0
Blood Omen 2|250,Blood Omen 2,Kain,dialogue,none,NA,31,1,1,0,1,0,1,0,0
Blood Omen 2|252,Blood Omen 2,Kain,dialogue,none,NA,10,1,0,1,1,1,1,0,1
Blood Omen 2|265,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|267,Blood Omen 2,Kain,dialogue,none,NA,10,0,1,0,0,1,0,1,1
Blood Omen 2|269,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|271,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|275,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,1,0,0,1
Blood Omen 2|277,Blood Omen 2,Kain,dialogue,none,NA,15,0,1,1,0,0,0,0,1
Blood Omen 2|279,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|281,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|285,Blood Omen 2,Kain,dialogue,none,NA,29,0,2,1,4,1,3,0,2
Blood Omen 2|289,Blood Omen 2,Kain,dialogue,none,NA,29,0,0,1,0,0,1,0,1
Blood Omen 2|291,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,0,1,0
Blood Omen 2|293,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,0,0,0,0,0,0
Blood Omen 2|311,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|313,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,0,0,0
Blood Omen 2|315,Blood Omen 2,Kain,dialogue,none,NA,10,0,0,0,0,0,0,0,0
Blood Omen 2|317,Blood Omen 2,Kain,dialogue,none,NA,35,2,1,1,1,0,1,1,1
Blood Omen 2|319,Blood Omen 2,Kain,dialogue,none,NA,11,0,0,0,0,1,0,0,2
Blood Omen 2|321,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,0,0,0,0,2
Blood Omen 2|323,Blood Omen 2,Kain,dialogue,none,NA,5,0,1,0,0,1,0,1,1
Blood Omen 2|325,Blood Omen 2,Kain,dialogue,none,NA,12,0,0,0,0,0,0,0,0
Blood Omen 2|327,Blood Omen 2,Kain,dialogue,none,NA,22,0,1,0,0,0,0,0,0
Blood Omen 2|329,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|332,Blood Omen 2,Kain,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|334,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,0,0,0,0,0
Blood Omen 2|336,Blood Omen 2,Kain,dialogue,none,NA,31,1,1,0,1,0,1,0,0
Blood Omen 2|338,Blood Omen 2,Kain,dialogue,none,NA,23,0,0,1,1,0,0,1,1
Blood Omen 2|340,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|342,Blood Omen 2,Kain,dialogue,none,NA,28,0,1,0,1,1,1,0,0
Blood Omen 2|348,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|350,Blood Omen 2,Kain,dialogue,none,NA,5,1,0,0,0,0,0,0,1
Blood Omen 2|352,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,1,0,0,0,0,1
Blood Omen 2|354,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,1,0,0,0,0
Blood Omen 2|356,Blood Omen 2,Kain,narration,explicit_paren,NA,37,1,0,2,1,0,1,0,0
Blood Omen 2|360,Blood Omen 2,Kain,dialogue,none,NA,11,0,0,0,1,0,0,0,0
Blood Omen 2|362,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,0,0,0
Blood Omen 2|364,Blood Omen 2,Kain,dialogue,none,NA,8,0,1,0,0,1,0,1,1
Blood Omen 2|366,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|368,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|370,Blood Omen 2,Kain,dialogue,none,NA,15,0,0,1,0,0,0,0,1
Blood Omen 2|373,Blood Omen 2,Kain,dialogue,none,NA,7,1,0,0,1,0,1,0,0
Blood Omen 2|375,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|383,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|386,Blood Omen 2,Kain,dialogue,none,NA,18,0,0,0,1,0,1,0,0
Blood Omen 2|388,Blood Omen 2,Kain,dialogue,none,NA,9,0,0,0,0,0,0,0,1
Blood Omen 2|390,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,0,1,1,0,0,1
Blood Omen 2|392,Blood Omen 2,Kain,dialogue,none,NA,6,0,1,0,0,0,0,0,0
Blood Omen 2|394,Blood Omen 2,Kain,dialogue,none,NA,2,1,0,0,1,0,1,0,0
Blood Omen 2|398,Blood Omen 2,Kain,dialogue,none,NA,2,0,0,0,0,0,0,0,0
Blood Omen 2|401,Blood Omen 2,Kain,narration,explicit_paren,NA,19,2,0,2,2,0,0,0,0
Blood Omen 2|403,Blood Omen 2,Kain,dialogue,none,NA,3,0,0,0,0,0,0,0,0
Blood Omen 2|405,Blood Omen 2,Kain,dialogue,none,NA,6,1,0,0,0,0,1,0,0
Blood Omen 2|408,Blood Omen 2,Kain,dialogue,none,NA,2,1,0,1,2,0,1,0,0
Blood Omen 2|414,Blood Omen 2,Kain,dialogue,none,NA,9,1,0,2,1,0,1,0,0
Blood Omen 2|419,Blood Omen 2,Kain,dialogue,none,NA,13,0,0,1,0,0,0,0,1
Blood Omen 2|425,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,1
Blood Omen 2|427,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|429,Blood Omen 2,Kain,dialogue,none,NA,14,1,0,0,1,0,1,0,0
Blood Omen 2|431,Blood Omen 2,Kain,dialogue,none,NA,1,0,0,0,0,0,0,0,0
Blood Omen 2|433,Blood Omen 2,Kain,dialogue,none,NA,30,1,0,0,1,0,1,0,1
Blood Omen 2|435,Blood Omen 2,Kain,dialogue,none,NA,16,0,0,0,0,0,0,0,1
Blood Omen 2|438,Blood Omen 2,Kain,dialogue,none,NA,12,1,0,0,0,0,0,0,0
Blood Omen 2|440,Blood Omen 2,Kain,narration,explicit_paren,NA,45,2,2,0,2,1,1,0,4
Blood Omen 2|445,Blood Omen 2,Kain,dialogue,none,NA,7,0,0,0,0,0,0,0,1
Blood Omen 2|447,Blood Omen 2,Kain,narration,explicit_paren,NA,42,0,1,1,0,2,0,1,5
Blood Omen 2|460,Blood Omen 2,Kain,narration,explicit_paren,NA,22,1,0,1,1,0,0,0,0
Blood Omen 2|461,Blood Omen 2,Kain,dialogue,explicit_paren,NA,9,0,0,0,0,0,0,0,0
Blood Omen 2|463,Blood Omen 2,Kain,dialogue,none,NA,42,3,1,1,3,0,1,1,1
Blood Omen 2|465,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|468,Blood Omen 2,Kain,dialogue,none,NA,32,1,0,3,2,1,2,0,1
Blood Omen 2|475,Blood Omen 2,Kain,dialogue,none,NA,21,1,0,0,0,0,0,0,0
Blood Omen 2|477,Blood Omen 2,Kain,dialogue,none,NA,6,0,0,0,1,0,1,0,0
Blood Omen 2|479,Blood Omen 2,Kain,dialogue,none,NA,14,0,0,1,0,0,0,0,2
Blood Omen 2|481,Blood Omen 2,Kain,dialogue,none,NA,8,0,0,0,0,0,0,0,0
Blood Omen 2|483,Blood Omen 2,Kain,dialogue,none,NA,51,1,4,1,2,1,2,2,1
Blood Omen 2|486,Blood Omen 2,Kain,dialogue,none,NA,10,0,0,0,0,0,0,0,0
Blood Omen 2|488,Blood Omen 2,Kain,dialogue,none,NA,58,1,1,2,1,2,0,0,3
Blood Omen 2|490,Blood Omen 2,Kain,dialogue,none,NA,16,0,0,0,1,0,1,0,1
Blood Omen 2|492,Blood Omen 2,Kain,dialogue,none,NA,17,0,2,0,1,1,0,1,1
Blood Omen 2|514,Blood Omen 2,Kain,dialogue,none,NA,5,0,0,0,0,0,0,0,0
Blood Omen 2|516,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
Blood Omen 2|518,Blood Omen 2,Kain,dialogue,none,NA,7,0,0,0,0,0,0,0,0
Blood Omen 2|520,Blood Omen 2,Kain,dialogue,none,NA,16,0,1,0,0,0,0,0,0
Blood Omen 2|522,Blood Omen 2,Kain,dialogue,none,NA,17,0,0,0,0,0,0,0,0
Blood Omen 2|524,Blood Omen 2,Kain,dialogue,none,NA,6,1,0,1,1,0,0,0,0
Blood Omen 2|528,Blood Omen 2,Kain,dialogue,none,NA,4,0,0,0,0,0,0,0,0
